"BehaviorSpace results (NetLogo 6.3.0)",,,,,,,,,,,,,,,,,
"PSO_NL_Template.nlogo",,,,,,,,,,,,,,,,,
"particle-inertia-f7-c9-rejection",,,,,,,,,,,,,,,,,
"12/30/2022 21:31:59:414 +0100",,,,,,,,,,,,,,,,,
"min-pxcor",max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
"-100",100,-100,100,,,,,,,,,,,,,,
"[run number]",trails-mode,particle-inertia,path-to-load,swarm-confidence,highlight-mode,penalty-coefficient,constraint_handling_method,Constraint,fitness_function,Constraints,path-to-save,population-size,personal-confidence,particle-speed-limit,[step],global-best-val,iterations
"3",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,4,1,5
"1",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,3,1,4
"4",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9517017845509788,600
"6",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"5",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
"2",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"7",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.980520520734325,600
"8",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.980520520734325,600
"10",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"9",None,0,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9707968004100943,600
"11",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,9,1,10
"13",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"14",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"12",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,4,1,5
"16",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,8,1,9
"15",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"17",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,4,1,5
"18",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,6,1,7
"19",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,8,1,9
"20",None,0.2,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,8,1,9
"21",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,6,1,7
"23",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,10,1,11
"22",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9708608776445209,600
"24",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,2,1,3
"25",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.980520520734325,600
"26",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,8,1,9
"28",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,7,1,8
"29",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,2,1,3
"30",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,3,1,4
"27",None,0.4,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"32",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,2,1,3
"31",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,1,1,2
"33",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
"34",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"36",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,7,1,8
"38",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,0,1,1
"35",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"37",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"40",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,3,1,4
"39",None,0.6,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"41",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,1,1,2
"42",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"44",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,1,1,2
"45",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"43",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"46",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"47",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9707968004100943,600
"48",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
"49",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,10,1,11
"50",None,0.8,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"51",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902122024413427,600
"52",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9611585163984322,600
"53",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"57",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,5,1,6
"54",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9327562822388585,600
"55",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600
"56",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"58",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,2,1,3
"59",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9902335615194848,600
"60",None,1,filename.txt,1,Best found,0.5,Rejection Method,Constraint 9,F7 Booth's Function,true,filename.txt,50,1,10,600,0.9804778025780407,600